transformador_id,lat,lon,region,densidad_poblacional,temperatura_actual,dias_desde_mantenimiento,antiguedad_anios,capacidad_kva,hogares_estimados,carga_estimada_kw,porcentaje_carga,fallas_ultimos_12_meses,riesgo_score_simulado,riesgo_clase,requiere_revision,riesgo_predicho,probabilidad_alto,probabilidad_bajo,probabilidad_medio,probabilidad_maxima
TR-00024,-34.9414151052519,-58.5670078595181,Provincia,9048.0,33.5,396,6,160,135,213.6,1.451,0,0.304,Medio,1,Medio,0.1488,0.0301,0.8211,0.8211
TR-00025,-34.8397364842554,-58.4650029325358,Provincia,876.0,29.4,143,10,315,10,10.2,0.035,1,0.152,Bajo,0,Bajo,0.0088,0.8816,0.1096,0.8816
TR-00026,-34.8344077682535,-58.4860969637609,Provincia,6107.0,29.0,226,16,800,74,112.1,0.152,0,0.144,Bajo,0,Bajo,0.0001,0.9637,0.0362,0.9637
TR-00027,-34.7982997767918,-58.4103934630139,Provincia,659.0,35.5,85,12,315,78,119.9,0.414,0,0.244,Bajo,0,Bajo,0.0386,0.7731,0.1883,0.7731
TR-00028,-34.9484908102358,-58.6132079498029,Provincia,7308.0,25.4,354,14,400,117,170.6,0.464,1,0.224,Medio,1,Medio,0.0076,0.069,0.9235,0.9235
TR-00029,-34.7558961325029,-58.3357424723614,Provincia,7186.0,34.4,240,19,500,120,164.2,0.357,2,0.341,Medio,1,Bajo,0.0365,0.6179,0.3456,0.6179
TR-00030,-34.6768695485116,-58.3098022510424,Provincia,10337.0,32.2,111,22,630,102,112.4,0.194,0,0.198,Bajo,0,Bajo,0.009,0.9204,0.0706,0.9204
TR-00031,-34.8072045735929,-58.2055427467354,Provincia,10763.0,37.9,166,12,500,142,203.0,0.441,0,0.326,Medio,1,Bajo,0.0663,0.5419,0.3918,0.5419
TR-00032,-35.0503283186986,-58.7467810648849,Provincia,7808.0,32.1,137,7,630,133,161.7,0.279,2,0.26,Bajo,0,Bajo,0.0722,0.772,0.1558,0.772
TR-00033,-34.828180800211,-58.2036042190632,Provincia,5699.0,35.8,162,15,250,102,181.9,0.791,1,0.345,Medio,1,Medio,0.058,0.1962,0.7458,0.7458
TR-00034,-34.7341472677594,-58.2793951521235,Provincia,8655.0,32.4,90,17,800,78,93.2,0.127,0,0.185,Bajo,0,Bajo,0.003,0.9506,0.0464,0.9506
TR-00035,-34.8382530087374,-58.404091734567,Provincia,5616.0,34.1,442,4,800,101,135.1,0.184,2,0.388,Medio,1,Medio,0.0641,0.073,0.8629,0.8629
TR-00036,-34.982759483347,-58.6986210073124,Provincia,7196.0,36.1,146,8,400,124,196.1,0.533,1,0.303,Bajo,0,Bajo,0.0656,0.6756,0.2589,0.6756
TR-00037,-34.9316242671927,-58.6927626904094,Provincia,10158.0,32.2,245,9,500,182,347.1,0.755,0,0.238,Bajo,0,Bajo,0.0321,0.7715,0.1964,0.7715
TR-00038,-34.844131833799,-58.458568572775,Provincia,5527.0,36.9,298,13,250,78,164.6,0.716,1,0.307,Bajo,0,Medio,0.093,0.3754,0.5316,0.5316
TR-00039,-34.6518101746118,-58.3357944572118,CABA,11614.0,31.3,241,9,400,111,159.5,0.433,2,0.234,Bajo,0,Bajo,0.0748,0.751,0.1743,0.751
TR-00040,-34.809854216992,-58.2031938059112,Provincia,9232.0,34.6,249,19,250,114,194.5,0.846,0,0.31,Medio,1,Medio,0.0349,0.306,0.6591,0.6591
TR-00041,-34.7739320262392,-58.3227758053823,Provincia,4336.0,36.7,215,3,160,53,89.3,0.607,0,0.273,Bajo,0,Bajo,0.0615,0.6463,0.2921,0.6463
TR-00042,-34.8434997170279,-58.5008730495672,Provincia,10122.0,35.8,254,3,1000,168,294.7,0.32,0,0.223,Bajo,0,Bajo,0.0667,0.7598,0.1735,0.7598
TR-00043,-34.8379857371604,-58.4045896013957,Provincia,9296.0,39.8,143,12,315,72,113.9,0.393,0,0.316,Bajo,0,Bajo,0.042,0.7483,0.2098,0.7483
TR-00044,-34.6832534202888,-58.3211687208964,CABA,15313.0,32.1,124,13,400,200,218.1,0.593,1,0.24,Bajo,0,Bajo,0.0146,0.7826,0.2028,0.7826
TR-00045,-34.7274891232693,-58.4832992388008,Provincia,4913.0,29.3,213,4,315,123,189.1,0.653,1,0.192,Bajo,0,Bajo,0.0191,0.8361,0.1447,0.8361
TR-00046,-34.8309581014685,-58.4162092048116,Provincia,4622.0,30.5,72,10,315,84,107.6,0.371,0,0.179,Bajo,0,Bajo,0.0059,0.9242,0.0698,0.9242
TR-00047,-34.7951548393266,-58.2135107384145,Provincia,5587.0,35.8,175,11,315,118,235.5,0.813,2,0.423,Medio,1,Medio,0.1173,0.1297,0.753,0.753
TR-00048,-34.8837747637172,-58.2239675117314,Provincia,8828.0,35.3,194,11,315,93,165.9,0.572,1,0.271,Bajo,0,Bajo,0.0394,0.6039,0.3566,0.6039
TR-00049,-34.7194061112219,-58.2908179345692,Provincia,4333.0,34.0,542,15,500,41,74.6,0.162,0,0.306,Medio,1,Medio,0.0152,0.0778,0.907,0.907
TR-00050,-34.8428227090555,-58.4776288543845,Provincia,8513.0,30.1,420,9,1000,166,252.5,0.274,0,0.148,Medio,1,Medio,0.0,0.1271,0.8729,0.8729
TR-00051,-34.7834704806538,-58.3167775071863,Provincia,3475.0,36.2,297,24,400,73,119.9,0.326,1,0.302,Bajo,0,Bajo,0.0067,0.5381,0.4552,0.5381
TR-00052,-34.8351243429613,-58.231552130677,Provincia,6588.0,29.8,358,17,1000,110,150.8,0.164,1,0.225,Medio,1,Medio,0.0033,0.0513,0.9454,0.9454
TR-00053,-34.8020315087424,-58.4118843495285,Provincia,7529.0,37.4,148,8,500,91,153.5,0.334,0,0.295,Bajo,0,Bajo,0.0038,0.8394,0.1568,0.8394
TR-00054,-34.6895889434037,-58.2921707765013,Provincia,14535.0,42.8,257,15,400,205,323.1,0.878,2,0.476,Medio,1,Medio,0.3287,0.0816,0.5897,0.5897
TR-00055,-34.9337189781932,-58.5381395880272,Provincia,3068.0,34.9,338,15,315,37,57.8,0.199,0,0.24,Medio,1,Medio,0.0226,0.0717,0.9057,0.9057
TR-00056,-34.8378093063023,-58.4840676474699,Provincia,11616.0,35.6,149,23,160,197,346.4,2.353,1,0.53,Alto,1,Alto,0.901,0.0152,0.0837,0.901
TR-00057,-34.8426590422226,-58.5038673263735,Provincia,7650.0,32.1,114,10,630,188,242.5,0.418,0,0.194,Bajo,0,Bajo,0.0063,0.9166,0.0771,0.9166
TR-00058,-34.7375965697252,-58.2713156066355,Provincia,8434.0,27.9,283,19,400,142,219.8,0.597,1,0.229,Bajo,0,Bajo,0.0168,0.5927,0.3904,0.5927
TR-00059,-34.8189552203145,-58.2676148780655,Provincia,7555.0,31.8,120,14,400,103,104.8,0.285,0,0.257,Bajo,0,Bajo,0.0022,0.9706,0.0272,0.9706
TR-00060,-34.7485383568448,-58.3350385156753,Provincia,8534.0,30.2,310,24,630,67,59.9,0.103,0,0.206,Medio,1,Medio,0.034,0.1081,0.8579,0.8579
TR-00061,-34.7329043046187,-58.2857878673608,Provincia,6739.0,29.1,393,23,315,67,102.5,0.354,0,0.248,Medio,1,Medio,0.022,0.1033,0.8747,0.8747
TR-00062,-34.7050392941033,-58.267074033667,Provincia,11562.0,39.2,151,15,630,206,402.5,0.694,1,0.361,Medio,1,Medio,0.1473,0.1929,0.6598,0.6598
TR-00063,-34.8456707083725,-58.4749138924529,Provincia,5831.0,34.6,157,12,315,73,118.1,0.408,0,0.255,Bajo,0,Bajo,0.0187,0.8313,0.15,0.8313
TR-00064,-34.7213653954025,-58.2939282015428,Provincia,10597.0,34.9,388,18,800,146,213.0,0.289,0,0.341,Medio,1,Medio,0.031,0.0733,0.8958,0.8958
TR-00065,-34.8036445851235,-58.2070982098345,Provincia,5267.0,32.7,250,13,315,108,160.9,0.555,0,0.312,Bajo,0,Bajo,0.0118,0.8726,0.1155,0.8726
TR-00066,-34.7520551472764,-58.2619250990842,Provincia,7019.0,33.1,364,26,250,150,222.9,0.969,0,0.338,Medio,1,Medio,0.2262,0.0491,0.7248,0.7248
TR-00067,-34.8335772622166,-58.3882567013096,Provincia,3984.0,36.8,217,15,500,71,101.2,0.22,0,0.308,Bajo,0,Bajo,0.0084,0.8825,0.1091,0.8825
TR-00068,-34.6980449711649,-58.3038209769645,Provincia,8565.0,33.6,224,11,250,121,182.9,0.795,1,0.337,Medio,1,Bajo,0.0249,0.4939,0.4812,0.4939
TR-00069,-34.7989768193249,-58.2108775663547,Provincia,11535.0,35.4,247,11,800,168,284.8,0.387,0,0.299,Bajo,0,Bajo,0.0413,0.6981,0.2606,0.6981
TR-00070,-34.8290589049172,-58.4122473310359,Provincia,6968.0,33.1,491,6,500,96,129.5,0.282,1,0.297,Medio,1,Medio,0.0073,0.0739,0.9188,0.9188
TR-00071,-34.7550692257953,-58.2669466387356,Provincia,6609.0,32.6,351,18,315,93,144.7,0.499,2,0.351,Medio,1,Medio,0.0997,0.071,0.8293,0.8293
TR-00072,-34.6780238399844,-58.3277847683208,CABA,10533.0,30.0,400,8,250,165,234.2,1.018,0,0.32,Medio,1,Medio,0.1592,0.0879,0.7529,0.7529
TR-00073,-35.0136904465249,-58.7151150431992,Provincia,6512.0,27.4,266,22,800,111,156.8,0.213,0,0.209,Bajo,0,Bajo,0.0161,0.8542,0.1297,0.8542
TR-00074,-34.8282694831109,-58.4319121131038,Provincia,2422.0,32.9,209,5,400,111,145.0,0.394,1,0.3,Bajo,0,Bajo,0.024,0.9338,0.0422,0.9338
TR-00075,-34.9172600766287,-58.6319927361746,Provincia,4461.0,33.9,191,15,800,93,152.6,0.207,1,0.269,Bajo,0,Bajo,0.0343,0.8484,0.1173,0.8484
TR-00076,-34.8304880089844,-58.4112045244793,Provincia,7880.0,29.6,306,22,250,152,261.8,1.138,1,0.347,Medio,1,Medio,0.1805,0.073,0.7465,0.7465
TR-00077,-34.7405221118789,-58.2690542884255,Provincia,11157.0,33.6,278,1,800,135,174.3,0.237,0,0.118,Bajo,0,Bajo,0.01,0.8651,0.1249,0.8651
TR-00078,-34.7391152808124,-58.2770927084335,Provincia,15628.0,33.9,152,28,400,228,371.6,1.01,0,0.282,Bajo,0,Bajo,0.1695,0.4384,0.3921,0.4384
TR-00079,-34.8160071354386,-58.2717658904393,Provincia,5440.0,26.8,247,11,500,76,71.3,0.155,1,0.15,Bajo,0,Bajo,0.0001,0.9027,0.0972,0.9027
TR-00080,-34.7076468873532,-58.2978841799122,Provincia,11506.0,30.8,188,15,315,176,243.7,0.841,2,0.288,Bajo,0,Bajo,0.0986,0.5525,0.3488,0.5525
TR-00081,-34.6625318337367,-58.3246358725832,CABA,16099.0,35.8,143,18,160,238,456.8,3.103,1,0.626,Alto,1,Alto,0.9581,0.0089,0.033,0.9581
TR-00082,-34.7534368883508,-58.2382832519598,Provincia,6746.0,34.9,184,19,800,111,159.1,0.216,2,0.277,Bajo,0,Bajo,0.0238,0.6791,0.2971,0.6791
TR-00083,-34.7159421087389,-58.3002028534513,Provincia,8498.0,30.0,225,16,1000,190,291.5,0.317,1,0.215,Bajo,0,Bajo,0.0256,0.7918,0.1826,0.7918
TR-00084,-35.0289916748719,-58.7245927451236,Provincia,7386.0,34.2,194,21,315,153,265.7,0.917,1,0.344,Medio,1,Medio,0.0666,0.2408,0.6926,0.6926
TR-00085,-34.7776254012046,-58.2363041456468,Provincia,7531.0,37.0,97,18,800,148,383.6,0.521,1,0.367,Medio,1,Medio,0.1448,0.3021,0.5531,0.5531
TR-00086,-34.8129583934825,-58.4221132782076,Provincia,5975.0,36.2,480,26,250,119,155.6,0.677,0,0.378,Medio,1,Medio,0.2465,0.0593,0.6942,0.6942
TR-00087,-34.7148384254866,-58.3014750870529,Provincia,3006.0,33.4,246,18,250,109,140.8,0.612,0,0.298,Bajo,0,Bajo,0.057,0.8073,0.1357,0.8073
TR-00088,-34.8302080899384,-58.397330978123,Provincia,2569.0,32.2,488,28,160,24,28.7,0.195,0,0.309,Medio,1,Medio,0.0772,0.1172,0.8057,0.8057
TR-00089,-34.7341310043231,-58.2849121238786,Provincia,9160.0,31.7,251,20,315,172,186.4,0.643,0,0.301,Bajo,0,Bajo,0.0182,0.8252,0.1566,0.8252
TR-00090,-34.8261598116101,-58.4135357902871,Provincia,6370.0,35.2,331,1,160,80,105.1,0.714,0,0.318,Medio,1,Medio,0.0634,0.1286,0.8079,0.8079
TR-00091,-34.918757691624,-58.533580115299,Provincia,5412.0,34.3,178,32,315,79,119.7,0.413,2,0.37,Medio,1,Bajo,0.0871,0.5058,0.4071,0.5058
TR-00092,-35.0306187958485,-58.7264698666396,Provincia,7226.0,35.7,180,10,250,129,207.8,0.903,1,0.285,Medio,1,Medio,0.1118,0.2906,0.5976,0.5976
TR-00093,-34.6824604500643,-58.3221714224612,CABA,13018.0,34.9,67,24,500,215,408.1,0.887,1,0.338,Medio,1,Medio,0.181,0.1941,0.6249,0.6249
TR-00094,-34.9411810953748,-58.5629180444205,Provincia,7741.0,36.3,486,14,630,92,170.1,0.293,1,0.364,Medio,1,Medio,0.0099,0.0603,0.9298,0.9298
TR-00095,-34.7671836894843,-58.3268994075214,Provincia,5232.0,34.0,155,21,500,78,154.0,0.335,0,0.258,Bajo,0,Bajo,0.0017,0.9305,0.0677,0.9305
TR-00096,-34.8088414133509,-58.4139735328695,Provincia,10879.0,36.2,85,9,250,161,227.6,0.99,1,0.311,Alto,1,Alto,0.965,0.0071,0.0278,0.965
TR-00097,-34.8685529855828,-58.4332337367799,Provincia,11938.0,36.5,384,18,630,166,203.7,0.351,1,0.402,Medio,1,Medio,0.0535,0.1024,0.844,0.844
TR-00098,-34.89634787757,-58.4481461297091,Provincia,8684.0,31.1,340,12,315,154,243.9,0.842,1,0.318,Medio,1,Medio,0.0513,0.0959,0.8527,0.8527
TR-00099,-34.6941182599905,-58.4532817327007,CABA,15899.0,28.7,83,25,500,304,292.8,0.637,0,0.174,Bajo,0,Bajo,0.0302,0.804,0.1658,0.804
TR-00100,-34.8246991590189,-58.4105864274892,Provincia,10926.0,38.6,571,17,400,170,286.9,0.78,0,0.421,Medio,1,Medio,0.1954,0.1067,0.6979,0.6979
TR-00101,-34.8172973569419,-58.3588774697537,Provincia,10590.0,34.5,583,21,315,137,227.0,0.783,0,0.464,Medio,1,Medio,0.0342,0.058,0.9077,0.9077
TR-00102,-34.7181878705631,-58.2931747730167,Provincia,9042.0,28.2,94,1,250,104,115.5,0.502,0,0.144,Bajo,0,Bajo,0.0275,0.8925,0.08,0.8925
TR-00103,-34.8315462755371,-58.2562723241473,Provincia,8995.0,31.4,176,13,630,128,161.4,0.278,0,0.227,Bajo,0,Bajo,0.0,0.9498,0.0502,0.9498
TR-00104,-34.823561345435,-58.41623883174,Provincia,8759.0,36.2,239,17,800,110,148.6,0.202,0,0.234,Bajo,0,Bajo,0.0153,0.7623,0.2224,0.7623
TR-00105,-34.8274239879443,-58.2059895500878,Provincia,3908.0,32.8,293,16,500,87,139.3,0.303,1,0.259,Bajo,0,Bajo,0.0104,0.8566,0.133,0.8566
TR-00106,-34.7817593744975,-58.2239004561927,Provincia,9302.0,32.1,273,21,1000,151,276.9,0.301,1,0.259,Bajo,0,Bajo,0.007,0.763,0.2299,0.763
TR-00107,-34.8369034996609,-58.3816531813755,Provincia,3133.0,38.2,245,11,800,55,108.0,0.147,0,0.282,Bajo,0,Bajo,0.0045,0.7729,0.2225,0.7729
TR-00108,-34.6774435501428,-58.310464129675,Provincia,4816.0,30.3,143,14,250,136,160.3,0.697,2,0.286,Bajo,0,Bajo,0.0959,0.6902,0.2138,0.6902
TR-00109,-34.8614877448717,-58.4902839069396,Provincia,11111.0,31.1,310,22,500,143,171.1,0.372,0,0.234,Medio,1,Medio,0.0017,0.0896,0.9086,0.9086
TR-00110,-34.9267619204114,-58.6388895540203,Provincia,9721.0,34.4,318,1,315,142,160.4,0.553,1,0.282,Medio,1,Medio,0.0691,0.1176,0.8133,0.8133
TR-00111,-34.7031642183255,-58.2716029002061,Provincia,11662.0,34.9,371,18,400,184,307.8,0.836,4,0.475,Alto,1,Alto,0.8529,0.0147,0.1324,0.8529
TR-00112,-34.8402761695647,-58.2228593502093,Provincia,6385.0,35.3,133,12,250,127,181.2,0.788,2,0.353,Medio,1,Medio,0.0855,0.2008,0.7137,0.7137
TR-00113,-34.8293159268955,-58.3999248240935,Provincia,3743.0,36.6,221,8,1000,106,149.8,0.163,1,0.319,Bajo,0,Bajo,0.0195,0.7872,0.1933,0.7872
TR-00114,-34.8416764342641,-58.4865753946411,Provincia,6479.0,34.3,194,16,500,117,159.8,0.347,0,0.195,Bajo,0,Bajo,0.0025,0.9385,0.059,0.9385
TR-00115,-34.7252300051865,-58.2913836867334,Provincia,7506.0,35.3,132,23,315,145,242.8,0.838,0,0.332,Medio,1,Medio,0.0912,0.2958,0.613,0.613
TR-00116,-34.7455584271295,-58.2336306548223,Provincia,7437.0,32.9,219,21,315,101,115.2,0.398,0,0.303,Bajo,0,Bajo,0.0091,0.9001,0.0908,0.9001
TR-00117,-34.8149762571558,-58.4225079118824,Provincia,10601.0,33.9,147,13,400,178,301.0,0.818,0,0.269,Bajo,0,Bajo,0.0268,0.7124,0.2608,0.7124
TR-00118,-34.7894257214722,-58.4175305520074,Provincia,6116.0,34.0,121,20,500,124,155.7,0.338,0,0.22,Bajo,0,Bajo,0.0,0.9457,0.0543,0.9457
TR-00119,-34.9347436285473,-58.5811854768597,Provincia,8256.0,34.4,342,20,800,165,192.3,0.261,0,0.316,Medio,1,Medio,0.0008,0.0566,0.9425,0.9425
TR-00120,-34.833215592403,-58.4202691897351,Provincia,4234.0,36.2,198,13,315,38,74.3,0.256,3,0.334,Alto,1,Alto,0.9243,0.0453,0.0304,0.9243
TR-00121,-34.8043093321643,-58.4102419980949,Provincia,8551.0,35.5,172,9,400,108,243.9,0.663,0,0.273,Bajo,0,Bajo,0.0326,0.7054,0.2619,0.7054
TR-00122,-34.7412534261881,-58.3219173179821,Provincia,7209.0,33.8,413,10,400,135,228.1,0.62,1,0.304,Medio,1,Medio,0.0268,0.0585,0.9147,0.9147
TR-00123,-34.7029528762225,-58.4608972158426,CABA,15270.0,31.9,84,20,315,144,197.1,0.68,2,0.249,Bajo,0,Bajo,0.0596,0.595,0.3453,0.595
TR-00124,-34.8257959526829,-58.412795752048,Provincia,6493.0,33.9,80,14,400,119,178.9,0.486,0,0.222,Bajo,0,Bajo,0.0026,0.8916,0.1058,0.8916
TR-00125,-34.8414682137702,-58.4768165603306,Provincia,6647.0,33.6,294,7,250,135,173.2,0.753,0,0.236,Bajo,0,Bajo,0.0235,0.6523,0.3241,0.6523
TR-00126,-34.7973555840761,-58.4110328127051,Provincia,6390.0,34.3,293,2,250,91,118.6,0.516,1,0.286,Bajo,0,Bajo,0.011,0.7652,0.2239,0.7652
TR-00127,-34.8039400575747,-58.2164690968151,Provincia,12514.0,40.8,215,20,400,167,140.2,0.381,2,0.467,Medio,1,Medio,0.1435,0.3239,0.5326,0.5326
TR-00128,-34.9358593894783,-58.5730019162564,Provincia,6905.0,32.0,211,10,800,84,185.3,0.252,0,0.26,Bajo,0,Bajo,0.0109,0.9409,0.0482,0.9409
TR-00129,-34.7234994874607,-58.2275552649943,Provincia,6468.0,35.1,104,16,315,93,174.8,0.603,0,0.27,Bajo,0,Bajo,0.0247,0.7337,0.2416,0.7337
TR-00130,-34.8386108589183,-58.49462645139,Provincia,908.0,37.1,568,23,315,28,49.0,0.169,0,0.403,Medio,1,Medio,0.0609,0.122,0.8171,0.8171
TR-00131,-34.9130741955312,-58.7162899223421,Provincia,4517.0,34.0,219,5,500,66,111.1,0.242,1,0.259,Bajo,0,Bajo,0.0362,0.8598,0.104,0.8598
TR-00132,-34.8437410187864,-58.4939147967424,Provincia,6411.0,41.2,287,14,800,87,132.5,0.18,1,0.36,Medio,1,Medio,0.0197,0.3525,0.6277,0.6277
TR-00133,-34.7492181773651,-58.4616979763222,Provincia,5142.0,32.5,225,13,400,83,123.3,0.335,0,0.154,Bajo,0,Bajo,0.0,0.9757,0.0243,0.9757
TR-00134,-34.8315584150604,-58.4228025016829,Provincia,11345.0,34.7,173,17,160,157,282.5,1.919,3,0.591,Alto,1,Medio,0.4637,0.0649,0.4714,0.4714
TR-00135,-34.8367724312166,-58.4065687458237,Provincia,6705.0,31.1,354,23,500,156,189.6,0.412,1,0.268,Medio,1,Medio,0.0073,0.0631,0.9296,0.9296
TR-00136,-34.8355052165769,-58.4415684038868,Provincia,11065.0,32.6,262,5,400,151,203.6,0.553,0,0.281,Bajo,0,Bajo,0.0,0.9032,0.0968,0.9032
TR-00137,-34.7593823874132,-58.2554145860679,Provincia,7385.0,34.5,220,18,500,126,165.1,0.359,1,0.32,Medio,1,Bajo,0.0066,0.5684,0.4249,0.5684
TR-00138,-34.8075975141923,-58.2144821192943,Provincia,7312.0,36.4,285,21,315,102,177.4,0.612,1,0.342,Medio,1,Medio,0.033,0.2595,0.7075,0.7075
TR-00139,-34.8361169304085,-58.4010209959152,Provincia,6934.0,34.7,235,13,160,97,134.2,0.912,0,0.326,Medio,1,Medio,0.0505,0.263,0.6866,0.6866
TR-00140,-34.8269005275763,-58.4150571028279,Provincia,7211.0,37.7,503,13,315,72,103.0,0.355,0,0.428,Medio,1,Medio,0.0439,0.1056,0.8506,0.8506
TR-00141,-34.9042198046886,-58.6162331194248,Provincia,12356.0,33.4,349,17,500,137,165.4,0.36,2,0.403,Medio,1,Medio,0.0562,0.041,0.9029,0.9029
TR-00142,-34.8348312104438,-58.3799714465065,Provincia,500.0,32.6,307,16,315,10,11.1,0.038,0,0.199,Medio,1,Medio,0.0098,0.1274,0.8628,0.8628
TR-00143,-34.8253629659729,-58.4069047831881,Provincia,1195.0,42.4,110,18,250,48,82.8,0.36,0,0.319,Bajo,0,Bajo,0.0457,0.7373,0.2169,0.7373
TR-00144,-34.7556480448671,-58.2588085858435,Provincia,5570.0,35.0,312,18,400,122,189.8,0.516,0,0.311,Medio,1,Medio,0.051,0.1107,0.8384,0.8384
TR-00145,-34.8372176046533,-58.2158638711938,Provincia,7244.0,31.4,308,7,500,71,75.6,0.164,1,0.222,Medio,1,Medio,0.0108,0.0733,0.9159,0.9159
TR-00146,-34.8330308589151,-58.4511254524309,Provincia,9270.0,31.5,148,21,250,126,183.6,0.798,0,0.306,Bajo,0,Bajo,0.0204,0.7734,0.2062,0.7734
TR-00147,-34.7363954476876,-58.2083011517806,Provincia,8619.0,30.7,109,22,500,97,135.8,0.295,0,0.219,Bajo,0,Bajo,0.0024,0.9393,0.0582,0.9393
TR-00148,-34.9166517543825,-58.6998475801614,Provincia,6047.0,36.7,342,15,500,94,174.3,0.379,1,0.291,Medio,1,Medio,0.0239,0.0438,0.9323,0.9323
TR-00149,-34.8352741726284,-58.3881821067784,Provincia,10257.0,32.5,362,4,315,178,269.2,0.929,1,0.344,Medio,1,Medio,0.0615,0.1043,0.8342,0.8342
TR-00150,-34.836247341181,-58.4402563301428,Provincia,10291.0,34.1,180,13,1000,140,353.4,0.384,1,0.27,Bajo,0,Bajo,0.0307,0.7398,0.2296,0.7398
